sector,brand,r_trends,p_trends,r_wiki,p_wiki,n
Banking,Raiffeisenbank,-0.39022517213601965,0.20981695181667726,0.40735144242012383,0.18873611624238706,12
Banking,Česká spořitelna,0.29056908829656475,0.35955111673203743,0.40074184414048186,0.19670967431794847,12
Banking,ČSOB,-0.28977581002680775,0.3609243001765902,0.1899824151329117,0.5542465847401917,12
Banking,Air Bank,0.29292438549346983,0.3554903341225175,0.5267230916346488,0.07850177440006598,12
Banking,mBank,0.4373346450131301,0.15510634224978698,0.6362466998981169,0.02613298682052829,12
Banking,Partners Banka,-0.32694256562460305,0.2996040409689368,0.6171934496736784,0.03251134258423889,12
FMCG retail,Lidl,0.41392822957454267,0.1810039053272579,0.40323272363339224,0.19368086841667986,12
FMCG retail,Albert,0.8098491001234516,0.001408981471892525,0.5190705661281785,0.08375046760268054,12
FMCG retail,Penny,0.7048805033559553,0.010466315400735731,0.27472348608344227,0.3874991624250046,12
FMCG retail,Kaufland,0.7637547837497786,0.0038366536344232,0.5660545605326606,0.05504080523737636,12
FMCG retail,Tesco,0.4556844693410931,0.1365501737910773,-0.15444509899390715,0.6317518913467425,12
E-commerce,Temu,0.8098046337716133,0.0014105170675056046,0.6896161783576966,0.013086987832961448,12
E-commerce,Notino,0.29387023731251627,0.3538664591680878,0.12707684442683426,0.693908181055125,12
E-commerce,Allegro,0.48822669147034536,0.10731199950190799,0.25045641445432143,0.43236880427184654,12
E-commerce,Datart,0.8643019011690812,0.00028726399698765384,0.43279539639190256,0.15993210768141022,12
E-commerce,Alza.cz,0.8563870683554682,0.00037612466798726243,0.47288134922900965,0.12052408210861743,12
Telecom,T-Mobile,-0.04715404339961678,0.8843001884522949,0.10752459590987858,0.7394255636681025,12
Telecom,O2,0.6901275969362862,0.012992046117589702,0.43649302202466544,0.15599398980612073,12
Telecom,Vodafone,0.07080603275923227,0.826910332191506,0.40282380001566964,0.19417611734612977,12
