"Time","Raiffeisenbank","Československá obchodní banka","Česká spořitelna","Air Bank","mBank","Partners Banka"
"2025-03-30",35,91,51,41,18,2
"2025-04-06",34,93,53,42,19,1
"2025-04-13",33,84,49,37,16,1
"2025-04-20",30,88,48,36,17,2
"2025-04-27",31,84,51,41,17,2
"2025-05-04",34,88,49,43,19,2
"2025-05-11",45,94,54,42,19,2
"2025-05-18",31,84,51,36,16,2
"2025-05-25",36,88,53,36,17,2
"2025-06-01",34,89,51,37,17,3
"2025-06-08",33,87,50,38,18,2
"2025-06-15",33,88,54,40,18,3
"2025-06-22",32,86,57,40,18,3
"2025-06-29",34,96,58,42,19,2
"2025-07-06",37,88,59,40,20,3
"2025-07-13",34,92,56,40,20,3
"2025-07-20",34,89,56,37,17,2
"2025-07-27",34,94,56,37,17,3
"2025-08-03",33,89,58,39,18,3
"2025-08-10",34,89,59,41,18,2
"2025-08-17",34,100,54,40,16,3
"2025-08-24",31,87,53,36,20,2
"2025-08-31",35,96,57,39,24,2
"2025-09-07",32,87,55,38,22,2
"2025-09-14",32,83,50,37,19,3
"2025-09-21",31,89,48,36,20,3
"2025-09-28",30,85,50,36,21,2
"2025-10-05",32,87,53,36,21,2
"2025-10-12",31,91,50,40,23,2
"2025-10-19",30,84,49,35,19,2
"2025-10-26",26,78,46,35,20,2
"2025-11-02",34,94,52,35,19,2
"2025-11-09",32,87,52,37,21,2
"2025-11-16",36,77,44,32,17,2
"2025-11-23",27,85,49,32,18,2
"2025-11-30",34,84,50,31,19,2
"2025-12-07",31,88,51,36,19,2
"2025-12-14",30,88,51,33,17,2
"2025-12-21",23,54,36,28,14,2
"2025-12-28",29,69,43,32,15,2
"2026-01-04",34,89,55,36,22,3
"2026-01-11",37,92,55,37,21,3
"2026-01-18",33,97,53,33,18,3
"2026-01-25",31,83,52,34,18,3
"2026-02-01",34,85,52,35,18,4
"2026-02-08",32,87,52,33,16,3
"2026-02-15",33,76,47,30,18,2
"2026-02-22",28,81,46,30,19,3
"2026-03-01",31,89,52,32,18,3
"2026-03-08",33,89,57,33,21,3
"2026-03-15",31,88,49,31,21,3
