date,Raiffeisenbank,Česká spořitelna,ČSOB,Air Bank,mBank,Partners Banka,Lidl,Albert,Penny,Kaufland,Tesco,Temu,Notino,Allegro,Datart,Alza.cz,T-Mobile,O2,Vodafone
2025-04-30,1708,3130,1962,1639,727,991,2785,3090,2130,2027,67,1460,1161,148,748,3317,643,1657,902
2025-05-31,1735,2866,1833,1522,641,803,2779,2352,1689,1779,78,1533,1070,235,634,2967,570,1643,651
2025-06-30,1393,2339,1497,1225,555,820,2180,2193,1420,1371,69,1364,736,154,415,2618,481,1036,610
2025-07-31,1489,2086,1536,1431,656,844,2700,2273,1847,1657,93,1776,921,258,1140,2781,554,1283,770
2025-08-31,1571,2197,1617,1466,630,886,2384,2378,1937,1515,91,1787,840,147,1070,2904,533,1531,701
2025-09-30,1411,2047,1409,1442,908,856,4125,2240,1970,1569,26,1815,882,154,909,2928,497,1192,673
2025-10-31,1530,2039,1505,1272,924,764,2572,2062,1609,1406,48,1886,778,106,925,4016,530,2398,582
2025-11-30,1757,2044,1559,1416,878,753,2337,2321,2008,1785,18,5623,1657,161,1095,4176,537,1238,549
2025-12-31,1439,1701,1557,1096,614,569,2524,2043,1788,3029,43,4645,1016,243,1054,3650,502,1094,517
2026-01-31,2186,2005,1581,1213,647,775,2013,1893,1583,3354,35,4233,893,84,809,2907,562,1136,559
2026-02-28,1552,1777,1363,1076,613,683,1900,1764,1403,1220,33,1308,1018,97,922,1990,530,1222,697
2026-03-31,916,1170,969,725,415,442,1288,1323,956,777,16,838,740,81,480,1605,329,826,427
