date,Raiffeisenbank,Česká spořitelna,ČSOB,Air Bank,mBank,Partners Banka,Lidl,Albert,Penny,Kaufland,Tesco,Temu,Notino,Allegro,Datart,Alza.cz,T-Mobile,O2,Vodafone
2025-04-07,376,798,535,451,196,272,650,711,494,500,18.0,329,289,29.0,171,899,149,413,174
2025-04-14,384,699,502,389,171,259,726,725,471,444,15.0,363,318,45.0,178,894,150,356,191
2025-04-21,402,692,384,327,142,164,657,731,644,481,11.0,306,251,34.0,164,618,131,298,250
2025-04-28,419,737,413,371,172,234,592,720,430,488,20.0,381,236,30.0,184,728,147,457,241
2025-05-05,313,793,371,371,141,179,614,606,445,372,13.0,308,209,32.0,180,688,136,472,143
2025-05-12,468,724,407,338,159,210,683,576,358,454,20.0,335,384,59.0,171,684,104,354,140
2025-05-19,481,693,458,336,151,164,548,502,382,416,23.0,357,185,65.0,193,760,138,314,136
2025-05-26,376,527,441,337,141,175,631,506,335,398,17.0,315,200,56.0,87,626,158,306,203
2025-06-02,303,480,382,323,123,189,610,491,328,338,11.0,406,212,40.0,77,538,141,400,115
2025-06-09,364,532,400,318,130,180,500,522,340,362,19.0,381,163,43.0,113,535,125,273,131
2025-06-16,333,443,343,309,137,178,506,586,340,300,18.0,304,138,37.0,90,624,102,230,160
2025-06-23,289,671,302,273,119,190,510,499,370,318,19.0,275,142,36.0,88,710,93,249,128
2025-06-30,328,546,354,243,141,220,517,460,302,306,10.0,297,240,31.0,101,598,120,214,151
2025-07-07,300,448,296,333,153,180,642,501,422,377,19.0,357,398,54.0,207,594,108,300,190
2025-07-14,312,462,384,321,184,202,541,527,401,340,18.0,370,164,43.0,240,667,130,288,179
2025-07-21,326,468,340,298,154,189,604,521,457,459,21.0,462,148,61.0,220,630,114,265,181
2025-07-28,387,503,344,312,114,171,630,501,397,349,28.0,420,134,85.0,276,636,142,320,143
2025-08-04,370,509,373,364,140,216,648,566,432,365,22.0,407,190,27.0,328,541,137,360,169
2025-08-11,360,492,387,335,156,217,545,529,440,348,33.0,381,168,43.0,284,692,144,441,172
2025-08-18,341,491,322,272,140,185,505,512,419,311,21.0,422,171,31.0,213,679,127,304,128
2025-08-25,363,488,374,322,137,203,537,540,487,375,11.0,380,209,32.0,253,702,106,317,143
2025-09-01,379,497,387,404,134,191,501,514,403,298,11.0,408,210,34.0,219,628,98,252,180
2025-09-08,331,466,288,323,228,217,560,476,497,327,6.0,396,223,29.0,180,664,112,283,145
2025-09-15,329,450,301,304,214,197,565,524,464,377,8.0,347,200,22.0,240,766,120,256,124
2025-09-22,302,490,381,401,207,184,595,701,427,384,5.0,391,232,15.0,220,626,117,325,224
2025-09-29,324,475,338,310,207,204,2135,404,440,376,7.0,559,157,78.0,211,676,101,252,139
2025-10-06,340,467,303,279,213,162,954,426,372,337,11.0,433,173,31.0,161,821,142,1326,150
2025-10-13,369,508,373,278,199,160,491,436,378,313,20.0,417,196,15.0,203,724,124,294,124
2025-10-20,310,445,320,282,204,179,493,529,330,303,7.0,395,180,30.0,250,850,90,266,109
2025-10-27,352,463,351,311,235,176,457,460,349,309,7.0,441,171,19.0,213,1239,124,360,142
2025-11-03,370,483,352,279,204,187,595,474,467,333,8.0,835,175,25.0,226,869,119,374,146
2025-11-10,422,516,355,317,165,201,569,537,447,389,2.0,1164,250,25.0,250,982,157,280,106
2025-11-17,403,450,350,362,206,184,479,564,482,449,4.0,1239,501,38.0,230,853,108,296,145
2025-11-24,459,471,385,360,174,157,584,582,467,483,3.0,1487,507,40.0,264,1110,118,268,136
2025-12-01,370,440,396,317,254,172,587,512,480,386,4.0,1366,364,54.0,347,1027,130,258,117
2025-12-08,371,414,385,263,170,127,704,505,366,394,9.0,1284,290,29.0,228,849,135,249,142
2025-12-15,349,437,347,269,160,151,618,433,405,418,16.0,1582,307,40.0,251,858,130,249,135
2025-12-22,328,371,341,240,124,115,505,498,387,770,11.0,878,194,30.0,242,855,118,262,117
2025-12-29,251,320,331,198,102,119,475,430,418,1088,6.0,578,156,122.0,191,695,85,234,80
2026-01-05,326,388,326,237,131,141,470,381,383,991,6.0,567,163,41.0,174,855,125,229,118
2026-01-12,372,443,380,277,170,170,425,412,359,891,9.0,570,161,16.0,174,863,128,261,150
2026-01-19,392,455,400,298,141,173,415,442,336,766,5.0,1191,206,24.0,175,557,138,259,113
2026-01-26,691,493,324,265,141,192,479,469,379,640,9.0,1366,225,11.0,174,529,97,233,110
2026-02-02,700,441,319,275,140,184,469,414,368,466,11.0,825,217,17.0,229,475,124,324,148
2026-02-09,387,470,351,272,140,190,416,435,389,281,7.0,404,230,17.0,217,491,117,354,214
2026-02-16,339,412,299,254,156,162,480,421,315,320,5.0,284,206,33.0,207,534,132,264,169
2026-02-23,366,434,340,281,166,141,515,480,352,312,10.0,284,211,15.0,273,450,138,257,149
2026-03-02,321,465,371,279,144,176,516,451,299,265,7.0,264,383,40.0,211,500,140,317,155
2026-03-09,323,369,351,221,147,155,467,438,318,287,5.0,301,304,26.0,163,491,96,246,133
2026-03-16,333,407,343,233,155,154,458,477,387,292,2.0,304,245,23.0,151,536,132,335,140
2026-03-23,183,265,188,191,76,88,214,275,182,143,9.0,152,126,16.0,109,443,71,162,110
