"Time","Lidl","Albert","Penny Market","Kaufland","Tesco"
"2025-03-30",80,36,22,37,25
"2025-04-06",80,34,25,39,27
"2025-04-13",100,42,31,48,34
"2025-04-20",86,37,22,37,28
"2025-04-27",92,37,24,39,29
"2025-05-04",87,36,25,40,29
"2025-05-11",77,32,20,34,25
"2025-05-18",72,31,19,35,25
"2025-05-25",76,30,22,37,26
"2025-06-01",77,30,21,35,24
"2025-06-08",78,31,21,35,27
"2025-06-15",85,34,23,39,27
"2025-06-22",84,35,24,38,29
"2025-06-29",100,35,30,45,31
"2025-07-06",85,32,25,42,28
"2025-07-13",82,33,30,44,29
"2025-07-20",84,32,24,41,28
"2025-07-27",79,32,22,43,27
"2025-08-03",82,36,24,45,31
"2025-08-10",90,35,22,42,30
"2025-08-17",88,34,24,39,27
"2025-08-24",75,33,22,38,28
"2025-08-31",77,31,24,36,27
"2025-09-07",74,32,21,32,25
"2025-09-14",73,29,22,35,25
"2025-09-21",79,31,23,41,25
"2025-09-28",78,35,22,45,25
"2025-10-05",83,32,22,36,23
"2025-10-12",80,31,25,37,24
"2025-10-19",85,31,25,36,24
"2025-10-26",86,37,28,43,29
"2025-11-02",91,36,25,38,26
"2025-11-09",89,36,27,42,30
"2025-11-16",99,40,28,43,31
"2025-11-23",93,35,29,44,30
"2025-11-30",89,39,29,46,29
"2025-12-07",90,36,29,45,33
"2025-12-14",85,40,31,49,37
"2025-12-21",88,51,33,69,49
"2025-12-28",92,48,34,58,41
"2026-01-04",67,30,27,39,23
"2026-01-11",72,31,29,37,25
"2026-01-18",69,30,26,34,24
"2026-01-25",68,33,27,36,24
"2026-02-01",65,31,27,38,25
"2026-02-08",72,31,25,35,24
"2026-02-15",73,29,25,36,23
"2026-02-22",76,31,22,38,24
"2026-03-01",76,30,25,39,25
"2026-03-08",80,33,26,37,27
"2026-03-15",85,33,29,42,25
