raw_name,normalized_name,sector
Air Bank,Air Bank,banking
Air Bank a.s.,Air Bank,banking
Banka Creditas,Banka Creditas,banking
Fio banka,Fio banka,banking
Fio banka a.s.,Fio banka,banking
Fio banka a.s. (2),Fio banka,banking
Komerční banka,Komerční banka,banking
Komerční banka a.s.,Komerční banka,banking
Moneta Money Bank,Moneta Money Bank,banking
Partners Banka,Partners Banka,banking
"Partners Banka, a.s.",Partners Banka,banking
Raiffeisen stavební spořitelna,Raiffeisenbank,banking
Raiffeisenbank,Raiffeisenbank,banking
Raiffeisenbank a.s.,Raiffeisenbank,banking
Raiffeisenbank Česká republika,Raiffeisenbank,banking
Trinity Bank,Trinity Bank,banking
TRINITY BANK a.s.,Trinity Bank,banking
UniCredit Bank,UniCredit Bank,banking
UniCredit,UniCredit Bank,banking
UniCredit Bank CZ & SK,UniCredit Bank,banking
mBank,mBank,banking
ČSOB,ČSOB,banking
ČSOB a.s.,ČSOB,banking
Česká spořitelna,Česká spořitelna,banking
Česká spořitelna - penzijní společnost,Česká spořitelna,banking
Česká spořitelna Kariéra,Česká spořitelna,banking
Česká spořitelna a.s.,Česká spořitelna,banking
Česká spořitelna - Firmy a podnikatelé,Česká spořitelna,banking
"ČESKÁ SPOŘITELNA, A.S.",Česká spořitelna,banking
ČSOB,ČSOB,banking
Československá obchodní banka,ČSOB,banking
Československá obchodní banka a.s.,ČSOB,banking
"Československá obchodní banka, a.s.",ČSOB,banking
"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A. S.",ČSOB,banking
"ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S.",ČSOB,banking
ČSOB Kariéra,ČSOB,banking
Audi Czech,Audi,automotive
Audi Czech Republic,Audi,automotive
BMW Czech,BMW,automotive
BMW Česká republika,BMW,automotive
Ford Česká republika,Ford,automotive
Havas Media Czech Republic (Inzerují jen KIA),Kia,automotive
Hyundai CZ,Hyundai,automotive
Hyundai Czech,Hyundai,automotive
Kia Czech,Kia,automotive
Kia Czech s.r.o.,Kia,automotive
Mercedes-Benz CZ,Mercedes-Benz,automotive
Mercedes-Benz Česká republika,Mercedes-Benz,automotive
Renault,Renault,automotive
Renault Česká republika,Renault,automotive
Toyota Czech,Toyota,automotive
Toyota Česká republika,Toyota,automotive
Volkswagen Financial Services CZ,Volkswagen,automotive
Volkswagen Česká republika,Volkswagen,automotive
Škoda Auto,Škoda Auto,automotive
Škoda,Škoda Auto,automotive
Allegro,Allegro,ecommerce
Allegro.cz,Allegro,ecommerce
One by Allegro,Allegro,ecommerce
Sell on Allegro,Allegro,ecommerce
